voisins,Search,Voisin1,Voisin2,Voisin3,Voisin4,Voisin5,movieId,imdbId
"[87, 8843, 1934, 11509, 10261, 11068]",87,8843,1934,11509,10261,11068,113,115645
"[88, 7643, 13226, 2419, 6261, 7176]",88,7643,13226,2419,6261,7176,115,112556
"[89, 7666, 6378, 14779, 1016, 11740]",89,7666,6378,14779,1016,11740,117,115033
"[90, 1065, 15356, 13226, 14499, 7643]",90,1065,15356,13226,14499,7643,118,116606
"[91, 13226, 3770, 3516, 13812, 7643]",91,13226,3770,3516,13812,7643,120,117427
"[92, 14908, 13226, 4248, 1841, 748]",92,14908,13226,4248,1841,748,122,103859
"[93, 1150, 6321, 6795, 15349, 2880]",93,1150,6321,6795,15349,2880,123,109424
"[94, 11740, 1849, 7158, 748, 6795]",94,11740,1849,7158,748,6795,124,114808
"[95, 15255, 14499, 7643, 15356, 12053]",95,15255,14499,7643,15356,12053,125,116324
"[96, 13226, 311, 4599, 1965, 3770]",96,13226,311,4599,1965,3770,126,110647
"[97, 3196, 7535, 8843, 12423, 13667]",97,3196,7535,8843,12423,13667,132,113451
"[98, 13226, 7643, 13349, 14052, 1361]",98,13226,7643,13349,14052,1361,135,116130
"[99, 748, 1849, 2822, 15580, 6795]",99,748,1849,2822,15580,6795,140,118055
"[100, 7643, 13226, 1827, 1065, 1467]",100,7643,13226,1827,1065,1467,141,115685
"[101, 11740, 1849, 15255, 207, 14499]",101,11740,1849,15255,207,14499,144,112585
"[102, 3770, 13226, 14208, 428, 1342]",102,3770,13226,14208,428,1342,146,112342
"[103, 11509, 14837, 7568, 4243, 11433]",103,11509,14837,7568,4243,11433,147,112461
"[104, 13226, 748, 7643, 2024, 14391]",104,13226,748,7643,2024,14391,148,112427
"[105, 5112, 6592, 10261, 11740, 11509]",105,5112,6592,10261,11740,11509,149,109093
"[106, 2795, 374, 14951, 7587, 4205]",106,2795,374,14951,7587,4205,150,112384
"[107, 1849, 748, 6795, 11887, 14837]",107,1849,748,6795,11887,14837,151,114287
"[108, 734, 8843, 15027, 5219, 15452]",108,734,8843,15027,5219,15452,152,112288
"[109, 920, 269, 17, 1028, 11873]",109,920,269,17,1028,11873,153,112462
"[110, 11229, 8591, 9349, 9811, 15578]",110,11229,8591,9349,9811,15578,154,61395
"[111, 12335, 11885, 8314, 13131, 11980]",111,12335,11885,8314,13131,11980,155,112495
"[112, 11740, 7643, 15349, 14837, 6364]",112,11740,7643,15349,14837,6364,156,112541
"[113, 8858, 13226, 7643, 12021, 14594]",113,8858,13226,7643,12021,14594,157,109370
"[114, 483, 14385, 1, 2019, 2170]",114,483,14385,1,2019,2170,158,112642
"[115, 11509, 1560, 6404, 2251, 4243]",115,11509,1560,6404,2251,4243,159,112688
"[116, 3196, 9531, 11068, 8858, 3770]",116,3196,9531,11068,8858,3770,160,112715
"[117, 1577, 3476, 2450, 11887, 14837]",117,1577,3476,2450,11887,14837,161,112740
"[118, 4682, 4465, 2284, 7176, 13110]",118,4682,4465,2284,7176,13110,162,109508
"[119, 2247, 4699, 8961, 12269, 4243]",119,2247,4699,8961,12269,4243,163,112851
"[120, 2575, 10261, 8843, 1934, 11509]",120,2575,10261,8843,1934,11509,164,112857
"[121, 914, 8090, 3887, 511, 553]",121,914,8090,3887,511,553,165,112864
"[122, 1012, 2439, 881, 3196, 8843]",122,1012,2439,881,3196,8843,166,112887
"[123, 748, 1921, 1849, 13667, 14908]",123,748,1921,1849,13667,14908,168,113071
"[124, 3770, 1049, 332, 4599, 12876]",124,3770,1049,332,4599,12876,169,113114
"[125, 8843, 4243, 12335, 13031, 3196]",125,8843,4243,12335,13031,3196,170,113243
"[126, 1014, 11740, 1777, 1849, 1333]",126,1014,11740,1777,1849,1333,171,113464
"[127, 3529, 9531, 7495, 556, 3196]",127,3529,9531,7495,556,3196,172,113481
"[128, 8858, 3196, 14594, 760, 3612]",128,8858,3196,14594,760,3612,173,113492
"[129, 9517, 7621, 13085, 11489, 5695]",129,9517,7621,13085,11489,5695,174,113500
"[130, 11509, 6364, 14837, 4243, 1560]",130,11509,6364,14837,4243,1560,175,113540
"[131, 15349, 11740, 14837, 4535, 6364]",131,15349,11740,14837,4535,6364,176,113677
"[132, 14552, 14148, 12389, 11068, 8843]",132,14552,14148,12389,11068,8843,177,113690
"[133, 165, 15255, 14499, 7643, 15356]",133,165,15255,14499,7643,15356,180,113749
"[134, 2736, 3770, 996, 1146, 13151]",134,2736,3770,996,1146,13151,181,113820
"[135, 14908, 13226, 748, 14499, 7643]",135,14908,13226,748,14499,7643,182,113851
"[136, 8843, 6378, 9282, 14552, 7643]",136,8843,6378,9282,14552,7643,183,110604
"[137, 8843, 14552, 11068, 15265, 12858]",137,8843,14552,11068,15265,12858,184,110620
"[138, 8843, 3196, 1934, 4243, 11509]",138,8843,3196,1934,4243,11509,185,113957
"[139, 13226, 15356, 7643, 14499, 15255]",139,13226,15356,7643,14499,15255,186,113986
"[140, 7643, 13226, 1065, 13349, 7176]",140,7643,13226,1065,13349,7176,187,114095
"[141, 8843, 11068, 4243, 1169, 7275]",141,8843,11068,4243,1169,7275,188,114194
"[142, 8843, 2022, 748, 14908, 2213]",142,8843,2022,748,14908,2213,191,114345
"[143, 760, 11502, 15074, 3196, 6707]",143,760,11502,15074,3196,6707,193,114436
"[144, 112, 6795, 15349, 11740, 14837]",144,112,6795,15349,11740,14837,194,114478
"[145, 14908, 10554, 1841, 748, 13226]",145,14908,10554,1841,748,13226,195,114496
"[146, 8858, 1205, 12201, 13897, 448]",146,8858,1205,12201,13897,448,196,114508
"[147, 4243, 8843, 1934, 12094, 11509]",147,4243,8843,1934,12094,11509,198,114558
"[148, 11229, 9811, 15578, 10488, 8591]",148,11229,9811,15578,10488,8591,199,58450
"[149, 6483, 1463, 13117, 13226, 1361]",149,6483,1463,13117,13226,1361,201,114663
"[150, 390, 748, 492, 7075, 2419]",150,390,748,492,7075,2419,202,114702
"[151, 7643, 13226, 11740, 1463, 13349]",151,7643,13226,11740,1463,13349,203,114682
"[152, 14552, 479, 4303, 12152, 3196]",152,14552,479,4303,12152,3196,204,114781
"[153, 748, 1849, 15580, 6795, 5301]",153,748,1849,15580,6795,5301,207,114887
"[154, 679, 959, 1134, 15398, 8858]",154,679,959,1134,15398,8858,208,114898
"[155, 8843, 10261, 1054, 14552, 3196]",155,8843,10261,1054,14552,3196,209,114928
"[156, 13226, 6960, 3770, 8858, 7749]",156,13226,6960,3770,8858,7749,212,112602
"[157, 968, 5400, 2644, 13764, 6331]",157,968,5400,2644,13764,6331,213,111579
"[158, 6331, 15022, 15349, 6795, 9567]",158,6331,15022,15349,6795,9567,214,110882
"[159, 6795, 5617, 1849, 14837, 388]",159,6795,5617,1849,14837,388,215,112471
"[160, 7643, 13226, 13349, 14499, 15255]",160,7643,13226,13349,14499,15255,216,112508
"[161, 8843, 1537, 2658, 14552, 3196]",161,8843,1537,2658,14552,3196,217,112438
"[162, 7643, 13226, 11740, 6592, 2419]",162,7643,13226,11740,6592,2419,218,112571
"[163, 14208, 14837, 13226, 11509, 11740]",163,14208,14837,13226,11509,11740,219,112757
"[164, 1849, 6795, 748, 13226, 15580]",164,1849,6795,748,13226,15580,222,112679
"[165, 7508, 7643, 15349, 4682, 11740]",165,7508,7643,15349,4682,11740,223,109445
"[166, 962, 11740, 6361, 1849, 1841]",166,962,11740,6361,1849,1841,224,112883
"[167, 2138, 1956, 1221, 8843, 382]",167,2138,1956,1221,8843,382,225,109635
"[168, 14552, 7, 13226, 10261, 1361]",168,14552,7,13226,10261,1361,227,109676
"[169, 500, 10261, 7275, 14837, 6404]",169,500,10261,7275,14837,6404,229,109579
"[170, 11509, 8843, 1934, 14837, 10261]",170,11509,8843,1934,14837,10261,230,109642
"[171, 2594, 17, 12919, 991, 250]",171,2594,17,12919,991,250,231,109686
"[172, 4922, 6321, 15349, 6795, 12880]",172,4922,6321,15349,6795,12880,232,111797
"[173, 748, 11740, 1849, 14697, 7530]",173,748,11740,1849,14697,7530,233,109759
"[174, 8843, 311, 13226, 15356, 7643]",174,8843,311,13226,15356,7643,234,109758
"[175, 1138, 11740, 7176, 15349, 492]",175,1138,11740,7176,15349,492,235,109707
"[176, 187, 9024, 13812, 14908, 2024]",176,187,9024,13812,14908,2024,236,113117
"[177, 14908, 14499, 7643, 748, 1841]",177,14908,14499,7643,748,1841,237,113097
"[178, 3770, 102, 14208, 1022, 13226]",178,3770,102,14208,1022,13226,238,113028
"[179, 1743, 2261, 6699, 9700, 13798]",179,1743,2261,6699,9700,13798,239,113198
"[180, 13226, 1022, 14208, 3770, 6483]",180,13226,1022,14208,3770,6483,241,113089
"[181, 492, 390, 7435, 7176, 11740]",181,492,390,7435,7176,11740,242,109771
"[182, 749, 8572, 4465, 2284, 324]",182,749,8572,4465,2284,324,246,110057
"[183, 6606, 10660, 6795, 2964, 213]",183,6606,10660,6795,2964,213,247,110005
"[184, 13226, 7643, 14052, 7621, 13804]",184,13226,7643,14052,7621,13804,248,110066
"[185, 1849, 6795, 14837, 748, 6403]",185,1849,6795,14837,748,6403,249,110116
"[186, 13226, 1176, 7643, 4645, 14208]",186,13226,1176,7643,4645,14208,250,110006
"[187, 9024, 14908, 7643, 748, 14499]",187,9024,14908,7643,748,14499,252,110099
"[188, 935, 82, 1849, 895, 748]",188,935,82,1849,895,748,253,110148
"[189, 1517, 8843, 2022, 748, 492]",189,1517,8843,2022,748,492,254,113463
"[190, 6707, 7621, 9517, 11502, 960]",190,6707,7621,9517,11502,960,255,110189
"[191, 13226, 8858, 311, 15356, 7643]",191,13226,8858,311,15356,7643,256,110216
"[192, 4243, 8843, 1934, 12094, 11509]",192,4243,8843,1934,12094,11509,257,113501
"[193, 13226, 311, 4443, 3964, 7621]",193,13226,311,4443,3964,7621,258,113538
"[194, 793, 780, 6904, 1778, 727]",194,793,780,6904,1778,727,260,76759
"[195, 226, 14208, 14837, 1463, 66]",195,226,14208,14837,1463,66,262,113670
"[196, 2265, 6282, 11740, 6795, 1849]",196,2265,6282,11740,6795,1849,263,110296
"[197, 10261, 7666, 8843, 6592, 6404]",197,10261,7666,8843,6592,6404,264,109731
"[198, 6795, 1849, 6321, 15349, 2964]",198,6795,1849,6321,15349,2964,265,103994
"[199, 1568, 13300, 1849, 748, 1070]",199,1568,13300,1849,748,1070,266,110322
"[200, 13226, 7643, 547, 1467, 311]",200,13226,7643,547,1467,311,267,110443
"[201, 11509, 7171, 8843, 4374, 4243]",201,11509,7171,8843,4374,4243,268,110365
"[202, 14837, 11509, 14208, 7643, 3920]",202,14837,11509,14208,7643,3920,271,113691
"[203, 11740, 7176, 15349, 14370, 2265]",203,11740,7176,15349,14370,2265,272,110428
"[204, 2213, 748, 2024, 8843, 6795]",204,2213,748,2024,8843,6795,273,109836
"[205, 14908, 5695, 4248, 13226, 311]",205,14908,5695,4248,13226,311,275,110538
"[206, 13226, 7643, 15356, 14499, 15255]",206,13226,7643,15356,14499,15255,276,110516
"[207, 11740, 101, 15349, 14837, 6364]",207,11740,101,15349,14837,6364,279,113896
"[208, 10261, 13373, 11509, 14837, 8843]",208,10261,13373,11509,14837,8843,280,113870
"[209, 11740, 1849, 101, 2089, 6795]",209,11740,1849,101,2089,6795,281,110684
"[210, 8843, 14837, 1956, 11509, 11950]",210,8843,14837,1956,11509,11950,282,110638
"[211, 8843, 4243, 3196, 12094, 11509]",211,8843,4243,3196,12094,11509,288,110632
"[212, 7643, 14499, 748, 15255, 14908]",212,7643,14499,748,15255,14908,289,110737
"[213, 6795, 15349, 6606, 11740, 1849]",213,6795,15349,6606,11740,1849,290,110729
"[214, 6339, 12010, 3196, 15610, 8843]",214,6339,12010,3196,15610,8843,291,114151
"[215, 3797, 556, 348, 904, 1463]",215,3797,556,348,904,1463,292,114069
"[216, 826, 6404, 7272, 12094, 1738]",216,826,6404,7272,12094,1738,293,110413
"[217, 1137, 5193, 15349, 4818, 719]",217,1137,5193,15349,4818,719,296,110912
"[218, 492, 14370, 14837, 1138, 6323]",218,492,14370,14837,1138,6323,300,110932
"[219, 390, 748, 6795, 11740, 7176]",219,390,748,6795,11740,7176,302,110963
"[220, 1160, 14552, 479, 13226, 1361]",220,1160,14552,479,13226,1361,303,114214
"[221, 13226, 7643, 9094, 11854, 7621]",221,13226,7643,9094,11854,7621,305,110907
"[222, 765, 6795, 5753, 223, 1849]",222,765,6795,5753,223,1849,306,111495
"[223, 6331, 224, 14454, 6795, 222]",223,6331,224,14454,6795,222,307,108394
"[224, 5753, 223, 3683, 6795, 6321]",224,5753,223,3683,6795,6321,308,111507
"[225, 13798, 13226, 9700, 7643, 7669]",225,13798,13226,9700,7643,7669,313,111333
"[226, 14837, 14208, 1463, 6795, 66]",226,14837,14208,1463,6795,66,314,111112
"[227, 5292, 3196, 403, 8843, 5003]",227,5292,3196,403,8843,5003,315,111255
"[228, 1106, 904, 1117, 14478, 1613]",228,1106,904,1117,14478,1613,316,111282
"[229, 13226, 4082, 7743, 1463, 7643]",229,13226,4082,7743,1463,7643,317,111070
"[230, 909, 15349, 14837, 6795, 6606]",230,909,15349,14837,6795,6606,318,111161
"[231, 531, 11740, 15349, 2265, 1738]",231,531,11740,15349,2265,1738,319,111149
"[232, 6795, 6321, 11740, 1849, 15349]",232,6795,6321,11740,1849,15349,321,106966
"[233, 11740, 11509, 15349, 14837, 7643]",233,11740,11509,15349,14837,7643,322,114594
"[234, 126, 11740, 1849, 6795, 6321]",234,126,11740,1849,6795,6321,324,111309
"[235, 311, 13226, 7621, 7643, 9517]",235,311,13226,7621,7643,9517,325,113936
"[236, 6318, 6274, 853, 2033, 2262]",236,6318,6274,853,2033,2262,326,110081
"[237, 8858, 14594, 13226, 7643, 1463]",237,8858,14594,13226,7643,1463,327,114614
"[238, 8858, 14552, 7643, 13226, 8843]",238,8858,14552,7643,13226,8843,328,114608
"[239, 1613, 904, 4172, 915, 917]",239,1613,904,4172,915,917,329,111280
"[240, 8843, 14552, 12152, 3196, 12269]",240,8843,14552,12152,3196,12269,330,114609
"[241, 7643, 13226, 13349, 5404, 14499]",241,7643,13226,13349,5404,14499,333,114694
"[242, 4061, 6795, 1280, 6321, 4881]",242,4061,6795,1280,6321,4881,334,111590
"[243, 8843, 1065, 1934, 12389, 12091]",243,8843,1065,1934,12389,12091,335,114788
"[244, 6795, 1849, 388, 14837, 748]",244,6795,1849,388,14837,748,337,108550
"[245, 12269, 8843, 3196, 5293, 8858]",245,12269,8843,3196,5293,8858,338,114857
"[246, 4183, 402, 1841, 11740, 1849]",246,4183,402,1841,11740,1849,339,114924
"[247, 14837, 11509, 13300, 14208, 7643]",247,14837,11509,13300,14208,7643,340,111667
"[248, 2419, 773, 6592, 3683, 7857]",248,2419,773,6592,3683,7857,342,110598
"[249, 13226, 9700, 3770, 186, 4599]",249,13226,9700,3770,186,4599,343,112435
"[250, 13226, 7643, 1467, 13349, 17]",250,13226,7643,1467,13349,17,344,109040
"[251, 11740, 1141, 11350, 15349, 7643]",251,11740,1141,11350,15349,7643,345,109045
"[252, 748, 6403, 10027, 6337, 1155]",252,748,6403,10027,6337,1155,346,106339
"[253, 6592, 7075, 1849, 390, 748]",253,6592,7075,1849,390,748,347,104779
"[254, 6378, 9308, 7643, 2897, 6371]",254,6378,9308,7643,2897,6371,348,109348
"[255, 2236, 4919, 3797, 1061, 2138]",255,2236,4919,3797,1061,2138,349,109444
"[256, 13226, 14208, 14908, 491, 7643]",256,13226,14208,14908,491,7643,351,109484
"[257, 7643, 13226, 11740, 1065, 1463]",257,7643,13226,11740,1065,1463,352,109504
"[258, 8961, 4243, 12094, 8843, 11509]",258,8961,4243,12094,8843,11509,353,109506
"[259, 2284, 390, 3108, 423, 4571]",259,2284,390,3108,423,4571,354,109450
"[260, 1355, 8310, 3812, 11898, 483]",260,1355,8310,3812,11898,483,355,109813
"[261, 2795, 1332, 1876, 15315, 5132]",261,2795,1332,1876,15315,5132,356,109830
"[262, 1812, 4856, 2956, 3781, 15]",262,1812,4856,2956,3781,15,357,109831
"[263, 8843, 11509, 1841, 748, 10261]",263,8843,11509,1841,748,10261,358,113305
"[264, 8858, 13226, 311, 15356, 7643]",264,8858,13226,311,15356,7643,360,110093
"[265, 14908, 7643, 748, 14499, 1841]",265,14908,7643,748,14499,1841,361,110167
"[266, 13708, 9117, 7873, 15228, 4470]",266,13708,9117,7873,15228,4470,364,110357
"[267, 390, 2022, 11740, 10336, 11058]",267,390,2022,11740,10336,11058,365,107426
"[268, 11068, 5353, 8843, 15516, 14552]",268,11068,5353,8843,15516,14552,366,111686
"[269, 991, 109, 1242, 17, 1031]",269,991,109,1242,17,1031,367,110475
"[270, 13812, 13300, 11740, 7643, 13226]",270,13812,13300,11740,7643,13226,368,110478
"[271, 12526, 1517, 1138, 14837, 11509]",271,12526,1517,1138,14837,11509,369,110588
"[272, 2683, 2682, 13226, 7643, 516]",272,2683,2682,13226,7643,516,370,110622
"[273, 7643, 13226, 11740, 1065, 4987]",273,7643,13226,11740,1065,4987,371,110771
"[274, 14908, 7643, 1841, 748, 14499]",274,14908,7643,1841,748,14499,372,110950
"[275, 11509, 7272, 14837, 8843, 10261]",275,11509,7272,14837,8843,10261,373,105226
"[276, 13226, 9700, 560, 1339, 7621]",276,13226,9700,560,1339,7621,374,110989
"[277, 12269, 8843, 12335, 4204, 4243]",277,12269,8843,12335,4204,4243,376,110997
"[278, 553, 121, 281, 914, 15291]",278,553,121,281,914,15291,377,111257
"[279, 7643, 13226, 14499, 15356, 15255]",279,7643,13226,14499,15356,15255,378,111256
"[280, 7, 1912, 3196, 8858, 8843]",280,7,1912,3196,8858,8843,379,111438
"[281, 468, 13099, 1238, 513, 435]",281,468,13099,1238,513,435,380,111503
"[282, 1849, 748, 6795, 15580, 14837]",282,1849,748,6795,15580,14837,381,111693
"[283, 4640, 11509, 7171, 13300, 8843]",283,4640,11509,7171,13300,8843,383,111756
"[284, 13226, 7643, 9094, 11854, 14908]",284,13226,7643,9094,11854,14908,386,111048
"[285, 8858, 3612, 6919, 13226, 1002]",285,8858,3612,6919,13226,1002,387,110399
"[286, 10185, 10117, 8671, 11229, 5631]",286,10185,10117,8671,11229,5631,390,59170
"[287, 8858, 1911, 6326, 13151, 11908]",287,8858,1911,6326,13151,11908,393,111301
"[288, 7643, 13226, 2897, 6378, 13812]",288,7643,13226,2897,6378,13812,394,112702
"[289, 3529, 4898, 2695, 748, 8858]",289,3529,4898,2695,748,8858,405,110027
"[290, 11037, 8843, 11068, 14552, 12389]",290,11037,8843,11068,14552,12389,407,113409
"[291, 1849, 748, 11521, 2284, 5390]",291,1849,748,11521,2284,5390,408,109021
"[292, 11509, 8843, 423, 15027, 3108]",292,11509,8843,423,15027,3108,409,109035
"[293, 1412, 13226, 7643, 9700, 8858]",293,1412,13226,7643,9700,8858,410,106220
"[294, 1849, 6795, 748, 14837, 15580]",294,1849,6795,748,14837,15580,412,106226
"[295, 13226, 7643, 4565, 1467, 7621]",295,13226,7643,4565,1467,7621,413,109068
"[296, 13226, 14393, 454, 7621, 499]",296,13226,14393,454,7621,499,414,109067
"[297, 3196, 4303, 2207, 12269, 8843]",297,3196,4303,2207,12269,8843,415,106292
"[298, 311, 14908, 7535, 8858, 3516]",298,311,14908,7535,8858,3516,416,109198
"[299, 1280, 1187, 43, 11740, 1849]",299,1280,1187,43,11740,1849,417,109219
"[300, 13226, 6533, 7643, 14391, 7621]",300,13226,6533,7643,14391,7621,418,106379
"[301, 13226, 7621, 3934, 9517, 10542]",301,13226,7621,3934,9517,10542,419,106400
"[302, 4303, 3196, 4657, 2603, 8843]",302,4303,3196,4657,2603,8843,420,109254
"[303, 102, 3770, 7723, 14208, 13226]",303,102,3770,7723,14208,13226,421,109279
